review_ID,review_name,reviewers_name,review_rating,review_date,review_text,pos_neg
R2CFE5CNT75T4H," Order them, you won't be sorry!",Special K,5,17-Apr-18,"I was very skeptical about ordering these lol I'm a side sleeper and have major pillow issues. For some reason, no matter the pillow, I wear them out within about 3 months typically. The ONLY pillows I have found so far are from Holiday Inn Express but they recently stopped selling them (still bummed). I read a LOT of reviews before ordering these. I need SOME firmness to mine so the pillow doesn't squish down to the bed when I lay my head on it and that is really difficult to gauge when ordering online. I bit the bullet and ordered these. These were vacuum packed and SO thin when they arrive that I doubted anything would puff them back up. Also, the outer shell material felt very cheap to me. I put them in the dryer one at a time and they came out HUGE. I slept like a baby the first night! Soft like a cloud but did not sink all the way to the bed with the weight of my head. Its now been 4 weeks and the last 2 days I woke up with a migraine, the first signs my pillows are too worn out for me. I stuck them in the dryer one at a time with 2 tennis balls and voila! Nice and puffy again. No migraine today. I HOPE that I can keep them alive by doing this, I would be ecstatic if I could get 6 months out of them.",positive
R32OAT2YT696AH, Beyond Impressed. I Put These Pillows Through Hell.,DavesNotHere,5,21-Dec-17,"As far as pillows go these would be 4 or 5 stars. I have had 2 of these for almost 3.5 months. I am a strapping 6' 0"" tall 300 pound manly man who sleeps with my pillows wrapped up like they're in a choke hold. I also drive my elbows into them throughout the night as well. They have held up surprisingly well. I am beyond impressed.",positive
R3NE66NT41LBRA, Dont BUY this pillow,garrick hileman,1,25-Jun-19,DONT BUY THEESE PILLOWS THEY CAME VACUUM SEALED AN INCH THICK OPEN THE PACKAGE THEY PUFFUP SAME WHEN YOU PUT YOUR HEAD ON THEM ONE ONTOP OF THE OTHER THEY FLATTING DOWN TO ABOUT 2 INCHES NO HEAD SUPPORT AT ALL. ****BAD PILLOW****,negative
R26PM7HDCQ7UMN, Don't buy,M workman,1,23-Sep-18,"I wouldn't know never received all of them. The others seem ok, when I called amazon to tell what happened, the call was escalated to a supervisor, that was the worst experience I have had. I was shamed for ordering 92 times on prime membership account, he was very arrogant, in all the most horrible customer service supervisor ever! So no I advised not to buy, unless you want to be shamed for ordering this product!!",negative
R7QGLJKP9VI73, Wonderfully comfortable,Kindle Customer,5,5-Feb-18,"My husband & I are both side sleepers who have disk & nerve issues with our necks and backs. I hadn't bought us new pillows for way too long and the ones we had were old, flat & lumpy. So when I saw these on a Lightning Deal, I figured that the price definitely made these worth a shot (although they're not exactly expensive normally). I got us a queen size set in blue & prepped them in the dryer as suggested. They didn't have any weird smell like some other customers had mentioned, but I put a few drops of lavender essential oil on them anyway because I love the smell & it's so soothing. The 1st night we slept on the new pillows was amazing. I have compressed disks & pinched nerves in my neck, and I usually wake up with a lot of pain there, but not since I bought these. They are exactly the right balance of firm & soft for a side sleeper who likes to read her Kindle in bed. Since I got these about a week ago, both my husband and I have woken up feeling more rested & in less pain than we have in months. Even our cat loves them! When she's in our bedroom with us, she'll lay down in the middle of one of our pillows if it's empty. If we're both laying down she'll curl up over our heads on the place where the two pillows meet. These pillows are definitely worth 5 stars and 5 meows!",positive
R3H5V9U8090ZFP, Spare bedroom pillows,Amber Gilchrist,5,23-Jul-17,"These pillows are down alternative. They are a softer pillow. If you like a firm pillow these would not be the best choice.
The packaging was well done. Air tight. (No chance for critters from warehouse storage) The instructions for fluffing the pillows was convenient. A few shakes and pulls and they were good to go!",positive
R1G76YBLF2RLS9, Great pillow for side sleepers,A. Pelletier,5,21-Sep-17,"I have had these pillows a few weeks now, and as a side sleeper I love them. The pillows 'fluff up"" and are firm enough that I only really have to use one of them. I have been using 2 pillows for years in order to support my head comfortably. You will however need to use queen or king sized pillow cases, these are big pillows and regular pillow cases will ride up on them over the course of a night.

As in all things, there is only rarely a one size fits all solution. These pillows may not be right for you, but after unpacking them and letting them fluff up to their full size (they were compressed down to fit in the shipping box) I have been extremely happy with these pillows. They are firm so if you want a soft pillow they will not work for you and they have a lot of loft. However if you, like me, are a side sleeper they could well be the solution to your sleeping problems.",positive
R3RFYQOBSYFJTT, I like different types of pillows depending on how I’m feeling,Christy Tanner,5,10-Apr-18,"I like different types of pillows depending on how I’m feeling. I had been down to one pillow for the past two years as a stomach sleeper but I’m currently pregnant and need more than that now. These pillows are packaged flat with all the air sucked out and then you fluff them when they arrive. I hand fluffed and then tossed them in the dryer for a few minutes and these puffed up to be quite large and supportive. I’m using one under my head stacked on top of my other pillow and one between my knees to support my hips. (Pregnancy really is painful - why do we women do this to ourselves? Oh yeah, cute babies... anyway...) These pillows will also come in handy when the baby gets here because I’m going to need the extra support propped up in bed while nursing.

I actually bought the first round of these pillows for my husband because he is a pillow stealer. I was down to my one pillow and was worried he was going to take that one too. When these arrived I was impressed with how supportive they were and that’s how I knew they would be great for getting me through this third trimester.

Side note, because they fluff up so well, if you’re just looking for an inexpensive pillow for your nice pillow shams, these would do a great job of filling them out well and looking nice on your bed. Also, the packaging says if they start to lose their shape to just throw them back in the dryer and they’ll fluff right up. We’ve had my husband’s set for 3 months now and they’re holding steady and haven’t needed refluffing yet.",positive
R1WDWYXO3OCHVV, No head support-very soft,Amazon Customer,2,11-Jul-19,"Pillows come vacuum sealed which is fine for shipping. Just a heads up though. They are incredibly thin and do not give much support at all. If you like super soft pillows, these are good but I like firm pillows that actually support my neck and head and these do not. I will be using them for decorative shams and buying more comfortable pillows.",negative
R1DTCG51V6T6O1, Save your time and money...,Lucy S,1,27-May-19,"These pillows looked like a dream, but after using them for one night - they were a nightmare.
First, one of the pillows arrived with stuffing falling out of it (see photos). But I thought it would be just a small issue...until I used them (after deflating them properly) and my neck was SORE the next day.
These pillows do NOT provide good support, they are made with very cheap material, and I can't recommend them to anyone!
In the garbage they go...",negative
